,Hospital 1,Hospital 2,Hospital 3,Hospital 4,Hospital 5,Hospital 6,Hospital 7,Hospital 8,Hospital 9,Hospital 10,Hospital 11,Hospital 12,Hospital 13,Hospital 14,Hospital 15,Hospital 16,Hospital 17,Hospital 18,Hospital 19,Hospital 20
Doctor A,2,10,15,2,6,9,15,15,6,4,19,15,19,10,6,10,1,10,10,5
Doctor B,13,18,8,16,3,18,1,13,3,11,5,8,11,1,15,8,20,5,16,5
Doctor C,14,1,1,16,20,11,7,6,17,7,1,7,14,7,11,1,1,18,11,18
Doctor D,9,17,5,1,11,8,9,5,11,1,13,5,4,1,13,17,13,13,20,17
Doctor E,9,7,9,4,14,4,4,3,9,7,12,17,17,1,15,15,1,12,17,20
Doctor F,12,1,5,2,12,6,9,20,15,2,6,16,12,16,16,16,6,2,9,9
Doctor G,11,7,7,9,16,9,6,13,3,18,13,3,16,15,11,1,3,1,18,18
Doctor H,1,12,18,7,12,16,1,19,5,7,1,4,9,5,16,12,20,12,10,10
Doctor I,5,15,20,16,9,9,6,7,1,9,3,9,16,1,16,3,7,16,9,14
Doctor J,12,4,16,16,6,10,12,20,6,1,4,12,6,16,12,1,1,10,16,9
